QuizName,QuizClass,FirstName,LastName,StudentID,CustomID,Earned Points,Possible Points,PercentCorrect,QuizCreated,DataExported,Key Version,Stu1,PriKey1,Points1,Mark1,Stu2,PriKey2,Points2,Mark2,Stu3,PriKey3,Points3,Mark3,Stu4,PriKey4,Points4,Mark4,Stu5,PriKey5,Points5,Mark5,Stu6,PriKey6,Points6,Mark6,Stu7,PriKey7,Points7,Mark7,Stu8,PriKey8,Points8,Mark8,Stu9,PriKey9,Points9,Mark9,Stu10,PriKey10,Points10,Mark10,Stu11,PriKey11,Points11,Mark11,Stu12,PriKey12,Points12,Mark12,Stu13,PriKey13,Points13,Mark13,Stu14,PriKey14,Points14,Mark14,Stu15,PriKey15,Points15,Mark15,Stu16,PriKey16,Points16,Mark16,Stu17,PriKey17,Points17,Mark17,Stu18,PriKey18,Points18,Mark18,Stu19,PriKey19,Points19,Mark19,Stu20,PriKey20,Points20,Mark20,Stu21,PriKey21,Points21,Mark21,Stu22,PriKey22,Points22,Mark22,Stu23,PriKey23,Points23,Mark23,Stu24,PriKey24,Points24,Mark24,Stu25,PriKey25,Points25,Mark25,Stu26,PriKey26,Points26,Mark26,Stu27,PriKey27,Points27,Mark27,Stu28,PriKey28,Points28,Mark28,Stu29,PriKey29,Points29,Mark29,Stu30,PriKey30,Points30,Mark30,Stu31,PriKey31,Points31,Mark31,Stu32,PriKey32,Points32,Mark32,Stu33,PriKey33,Points33,Mark33,Stu34,PriKey34,Points34,Mark34,Stu35,PriKey35,Points35,Mark35,Stu36,PriKey36,Points36,Mark36,Stu37,PriKey37,Points37,Mark37,Stu38,PriKey38,Points38,Mark38,Stu39,PriKey39,Points39,Mark39,Stu40,PriKey40,Points40,Mark40,Stu41,PriKey41,Points41,Mark41,Stu42,PriKey42,Points42,Mark42
Sample Quiz,Sample Class,,Alva Armel,100000,,133,150,88.67,,,,D,D,2,C,B,B,2,C,A,A,2,C,C,C,2,C,E,E,2,C,B,B,2,C,B,B,2,C,A,A,2,C,B,B,2,C,A,A,2,C,C,C,5,C,A,A,5,C,E,E,5,C,B,B,5,C,A,A,5,C,D,D,5,C,D,B,0,X,D,D,5,C,C,B,0,X,B,B,5,C,C,C,5,C,A,A,5,C,A,A,2,C,B,B,2,C,C,C,2,C,E,E,2,C,D,D,2,C,B,B,2,C,E,E,2,C,C,C,2,C,D,D,2,C,A,A,2,C,A,A,5,C,BC,ABC,3,P,B,D,0,X,B,B,5,C,BD,BD,5,C,BC,BC,5,C,BC,BC,5,C,D,D,5,C,C,C,5,C,CDE,CDE,5,C
Sample Quiz,Sample Class,,Barbar Bonugli,100001,,115,150,76.67,,,,D,D,2,C,B,B,2,C,A,A,2,C,C,C,2,C,E,E,2,C,B,B,2,C,B,B,2,C,A,A,2,C,B,B,2,C,A,A,2,C,,C,0,X,A,A,5,C,E,E,5,C,B,B,5,C,A,A,5,C,D,D,5,C,B,B,5,C,D,D,5,C,,B,0,X,C,B,0,X,B,C,0,X,A,A,5,C,D,A,0,X,B,B,2,C,C,C,2,C,E,E,2,C,A,D,0,X,B,B,2,C,A,E,0,X,C,C,2,C,D,D,2,C,E,A,0,X,A,A,5,C,ABC,ABC,5,C,D,D,5,C,B,B,5,C,BD,BD,5,C,BC,BC,5,C,BC,BC,5,C,E,D,0,X,C,C,5,C,CE,CDE,3,P
Sample Quiz,Sample Class,,Consuela Cousar,100002,,138,150,92.0,,,,D,D,2,C,B,B,2,C,A,A,2,C,C,C,2,C,E,E,2,C,B,B,2,C,B,B,2,C,A,A,2,C,B,B,2,C,A,A,2,C,C,C,5,C,A,A,5,C,E,E,5,C,B,B,5,C,A,A,5,C,D,D,5,C,B,B,5,C,D,D,5,C,B,B,5,C,B,B,5,C,C,C,5,C,A,A,5,C,A,A,2,C,B,B,2,C,C,C,2,C,E,E,2,C,D,D,2,C,B,B,2,C,E,E,2,C,C,C,2,C,D,D,2,C,A,A,2,C,A,A,5,C,AC,ABC,3,P,A,D,0,X,B,B,5,C,BCD,BD,0,X,BC,BC,5,C,BC,BC,5,C,D,D,5,C,C,C,5,C,CDE,CDE,5,C
Sample Quiz,Sample Class,,Dodie Dinwoodie,100003,,68,150,45.33,,,,D,D,2,C,C,B,0,X,A,A,2,C,B,C,0,X,E,E,2,C,B,B,2,C,B,B,2,C,A,A,2,C,B,B,2,C,A,A,2,C,B,C,0,X,A,A,5,C,E,E,5,C,B,B,5,C,A,A,5,C,B,D,0,X,A,B,0,X,B,D,0,X,B,B,5,C,C,B,0,X,B,C,0,X,A,A,5,C,D,A,0,X,E,B,0,X,C,C,2,C,B,E,0,X,A,D,0,X,B,B,2,C,E,E,2,C,C,C,2,C,D,D,2,C,A,A,2,C,A,A,5,C,CD,ABC,0,X,A,D,0,X,B,B,5,C,CD,BD,0,X,BCE,BC,0,X,BCD,BC,0,X,C,D,0,X,B,C,0,X,BE,CDE,0,X
Sample Quiz,Sample Class,,Evelynn Eisenbrandt,100004,,125,150,83.33,,,,D,D,2,C,B,B,2,C,A,A,2,C,C,C,2,C,E,E,2,C,B,B,2,C,B,B,2,C,A,A,2,C,B,B,2,C,A,A,2,C,C,C,5,C,A,A,5,C,E,E,5,C,B,B,5,C,A,A,5,C,D,D,5,C,D,B,0,X,B,D,0,X,C,B,0,X,B,B,5,C,C,C,5,C,A,A,5,C,A,A,2,C,B,B,2,C,C,C,2,C,E,E,2,C,D,D,2,C,B,B,2,C,E,E,2,C,C,C,2,C,D,D,2,C,A,A,2,C,A,A,5,C,ABC,ABC,5,C,A,D,0,X,B,B,5,C,BD,BD,5,C,AD,BC,0,X,BC,BC,5,C,D,D,5,C,C,C,5,C,CDE,CDE,5,C
Sample Quiz,Sample Class,,Fannie Finello,100005,,102,150,68.0,,,,D,D,2,C,B,B,2,C,A,A,2,C,C,C,2,C,E,E,2,C,B,B,2,C,B,B,2,C,A,A,2,C,B,B,2,C,A,A,2,C,A,C,0,X,A,A,5,C,E,E,5,C,B,B,5,C,A,A,5,C,D,D,5,C,D,B,0,X,B,D,0,X,B,B,5,C,B,B,5,C,C,C,5,C,A,A,5,C,A,A,2,C,B,B,2,C,C,C,2,C,E,E,2,C,D,D,2,C,B,B,2,C,E,E,2,C,C,C,2,C,D,D,2,C,A,A,2,C,D,A,0,X,BD,ABC,0,X,C,D,0,X,A,B,0,X,BD,BD,5,C,BC,BC,5,C,B,BC,2,P,D,D,5,C,A,C,0,X,B,CDE,0,X
Sample Quiz,Sample Class,,Gina Gittins,100006,,111,150,74.0,,,,D,D,2,C,B,B,2,C,A,A,2,C,C,C,2,C,E,E,2,C,B,B,2,C,B,B,2,C,A,A,2,C,A,B,0,X,A,A,2,C,C,C,5,C,AB,A,5,C,B,E,0,X,B,B,5,C,A,A,5,C,D,D,5,C,B,B,5,C,D,D,5,C,C,B,0,X,B,B,5,C,C,C,5,C,A,A,5,C,D,A,0,X,B,B,2,C,C,C,2,C,E,E,2,C,A,D,0,X,B,B,2,C,E,E,2,C,C,C,2,C,D,D,2,C,A,A,2,C,D,A,0,X,B,ABC,2,P,A,D,0,X,B,B,5,C,BC,BD,0,X,BC,BC,5,C,BC,BC,5,C,D,D,5,C,C,C,5,C,BE,CDE,0,X
Sample Quiz,Sample Class,,Howard Heagany,100007,,104,150,69.33,,,,D,D,2,C,B,B,2,C,A,A,2,C,C,C,2,C,E,E,2,C,B,B,2,C,B,B,2,C,A,A,2,C,B,B,2,C,A,A,2,C,A,C,0,X,A,A,5,C,E,E,5,C,B,B,5,C,A,A,5,C,A,D,0,X,B,B,5,C,B,D,0,X,A,B,0,X,B,B,5,C,C,C,5,C,A,A,5,C,A,A,2,C,B,B,2,C,C,C,2,C,E,E,2,C,D,D,2,C,C,B,0,X,E,E,2,C,B,C,0,X,A,D,0,X,D,A,0,X,A,A,5,C,A,ABC,2,P,A,D,0,X,B,B,5,C,BD,BD,5,C,D,BC,0,X,BC,BC,5,C,D,D,5,C,C,C,5,C,AB,CDE,0,X
Sample Quiz,Sample Class,,Isreal Isler,100008,,95,150,63.33,,,,D,D,2,C,B,B,2,C,A,A,2,C,C,C,2,C,E,E,2,C,B,B,2,C,B,B,2,C,A,A,2,C,B,B,2,C,A,A,2,C,A,C,0,X,A,A,5,C,A,E,0,X,B,B,5,C,A,A,5,C,B,D,0,X,C,B,0,X,D,D,5,C,B,B,5,C,C,B,0,X,B,C,0,X,A,A,5,C,A,A,2,C,B,B,2,C,C,C,2,C,E,E,2,C,D,D,2,C,B,B,2,C,E,E,2,C,C,C,2,C,D,D,2,C,A,A,2,C,A,A,5,C,B,ABC,2,P,B,D,0,X,B,B,5,C,C,BD,0,X,BCE,BC,0,X,BC,BC,5,C,E,D,0,X,C,C,5,C,CE,CDE,3,P
Sample Quiz,Sample Class,,Jacquelin Jagiello,100009,,138,150,92.0,,,,D,D,2,C,B,B,2,C,A,A,2,C,C,C,2,C,E,E,2,C,B,B,2,C,B,B,2,C,A,A,2,C,B,B,2,C,A,A,2,C,B,C,0,X,A,A,5,C,E,E,5,C,B,B,5,C,A,A,5,C,D,D,5,C,B,B,5,C,D,D,5,C,C,B,0,X,B,B,5,C,C,C,5,C,A,A,5,C,A,A,2,C,B,B,2,C,C,C,2,C,E,E,2,C,D,D,2,C,B,B,2,C,E,E,2,C,C,C,2,C,D,D,2,C,A,A,2,C,A,A,5,C,AB,ABC,3,P,D,D,5,C,B,B,5,C,BD,BD,5,C,BC,BC,5,C,BC,BC,5,C,D,D,5,C,C,C,5,C,CDE,CDE,5,C
